movieId,title,genres,imdbId,tmdbId,url,rating_count,rating_avg
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0114709,862,http://www.imdb.com/title/tt0114709/,215,3.9209302325581397
2,Jumanji (1995),Adventure|Children|Fantasy,0113497,8844,http://www.imdb.com/title/tt0113497/,110,3.4318181818181817
3,Grumpier Old Men (1995),Comedy|Romance,0113228,15602,http://www.imdb.com/title/tt0113228/,52,3.2596153846153846
4,Waiting to Exhale (1995),Comedy|Drama|Romance,0114885,31357,http://www.imdb.com/title/tt0114885/,7,2.357142857142857
5,Father of the Bride Part II (1995),Comedy,0113041,11862,http://www.imdb.com/title/tt0113041/,49,3.0714285714285716
6,Heat (1995),Action|Crime|Thriller,0113277,949,http://www.imdb.com/title/tt0113277/,102,3.946078431372549
7,Sabrina (1995),Comedy|Romance,0114319,11860,http://www.imdb.com/title/tt0114319/,54,3.185185185185185
8,Tom and Huck (1995),Adventure|Children,0112302,45325,http://www.imdb.com/title/tt0112302/,8,2.875
9,Sudden Death (1995),Action,0114576,9091,http://www.imdb.com/title/tt0114576/,16,3.125
10,GoldenEye (1995),Action|Adventure|Thriller,0113189,710,http://www.imdb.com/title/tt0113189/,132,3.496212121212121
11,"American President, The (1995)",Comedy|Drama|Romance,0112346,9087,http://www.imdb.com/title/tt0112346/,70,3.6714285714285713
12,Dracula: Dead and Loving It (1995),Comedy|Horror,0112896,12110,http://www.imdb.com/title/tt0112896/,19,2.4210526315789473
13,Balto (1995),Adventure|Animation|Children,0112453,21032,http://www.imdb.com/title/tt0112453/,8,3.125
14,Nixon (1995),Drama,0113987,10858,http://www.imdb.com/title/tt0113987/,18,3.8333333333333335
15,Cutthroat Island (1995),Action|Adventure|Romance,0112760,1408,http://www.imdb.com/title/tt0112760/,13,3
16,Casino (1995),Crime|Drama,0112641,524,http://www.imdb.com/title/tt0112641/,82,3.926829268292683
17,Sense and Sensibility (1995),Drama|Romance,0114388,4584,http://www.imdb.com/title/tt0114388/,67,3.7761194029850746
18,Four Rooms (1995),Comedy,0113101,5,http://www.imdb.com/title/tt0113101/,20,3.7
19,Ace Ventura: When Nature Calls (1995),Comedy,0112281,9273,http://www.imdb.com/title/tt0112281/,88,2.727272727272727
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0113845,11517,http://www.imdb.com/title/tt0113845/,15,2.5
21,Get Shorty (1995),Comedy|Crime|Thriller,0113161,8012,http://www.imdb.com/title/tt0113161/,89,3.494382022
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0112722,1710,http://www.imdb.com/title/tt0112722/,36,3.2222222222222223
23,Assassins (1995),Action|Crime|Thriller,0112401,9691,http://www.imdb.com/title/tt0112401/,16,3.125
24,Powder (1995),Drama|Sci-Fi,0114168,12665,http://www.imdb.com/title/tt0114168/,28,3.125
25,Leaving Las Vegas (1995),Drama|Romance,0113627,451,http://www.imdb.com/title/tt0113627/,76,3.625
26,Othello (1995),Drama,0114057,16420,http://www.imdb.com/title/tt0114057/,13,3.5
27,Now and Then (1995),Children|Drama,0114011,9263,http://www.imdb.com/title/tt0114011/,9,3.3333333333333335
28,Persuasion (1995),Drama|Romance,0114117,17015,http://www.imdb.com/title/tt0114117/,11,4.2272727272727275
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0112682,902,http://www.imdb.com/title/tt0112682/,38,4.0131578947368425
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0115012,37557,http://www.imdb.com/title/tt0115012/,3,3
31,Dangerous Minds (1995),Drama,0112792,9909,http://www.imdb.com/title/tt0112792/,38,3.1842105263157894
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0114746,63,http://www.imdb.com/title/tt0114746/,177,3.983050847457627
34,Babe (1995),Children|Drama,0112431,9598,http://www.imdb.com/title/tt0112431/,128,3.65234375
36,Dead Man Walking (1995),Crime|Drama,0112818,687,http://www.imdb.com/title/tt0112818/,67,3.8358208955223883
38,It Takes Two (1995),Children|Comedy,0113442,33689,http://www.imdb.com/title/tt0113442/,4,2.125
39,Clueless (1995),Comedy|Romance,0112697,9603,http://www.imdb.com/title/tt0112697/,104,3.293269230769231
40,"Cry, the Beloved Country (1995)",Drama,0112749,34615,http://www.imdb.com/title/tt0112749/,2,4.25
41,Richard III (1995),Drama|War,0114279,31174,http://www.imdb.com/title/tt0114279/,15,3.7
42,Dead Presidents (1995),Action|Crime|Drama,0112819,11443,http://www.imdb.com/title/tt0112819/,7,3
43,Restoration (1995),Drama,0114272,35196,http://www.imdb.com/title/tt0114272/,8,3.1875
44,Mortal Kombat (1995),Action|Adventure|Fantasy,0113855,9312,http://www.imdb.com/title/tt0113855/,46,2.5434782608695654
45,To Die For (1995),Comedy|Drama|Thriller,0114681,577,http://www.imdb.com/title/tt0114681/,32,3.3125
46,How to Make an American Quilt (1995),Drama|Romance,0113347,11861,http://www.imdb.com/title/tt0113347/,15,3.066666666666667
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,0114369,807,http://www.imdb.com/title/tt0114369/,203,3.9753694581280787
